order_month,total_sales,running_total_sales,moving_average_price
2010-12,43419,43419,3101
2011-01,469795,513214,3182
2011-02,466307,979521,3200
2011-03,485165,1464686,3209
2011-04,502042,1966728,3207
2011-05,561647,2528375,3210
2011-06,737793,3266168,3210
2011-07,596710,3862878,3205
2011-08,614516,4477394,3203
2011-09,603047,5080441,3209
2011-10,708164,5788605,3208
2011-11,660507,6449112,3206
2011-12,669395,7118507,3191
2012-01,495363,7613870,3103
2012-02,506992,8120862,3027
2012-03,373478,8494340,2948
2012-04,400324,8894664,2882
2012-05,358866,9253530,2818
2012-06,555142,9808672,2761
2012-07,444533,10253205,2714
2012-08,523887,10777092,2669
2012-09,486149,11263241,2630
2012-10,535125,11798366,2590
2012-11,537918,12336284,2551
2012-12,624454,12960738,2501
2013-01,857758,13818496,2425
2013-02,771218,14589714,2343
2013-03,1049732,15639446,2269
2013-04,1045860,16685306,2200
2013-05,1284456,17969762,2136
2013-06,1642948,19612710,2078
2013-07,1371595,20984305,2022
2013-08,1545910,22530215,1970
2013-09,1447324,23977539,1922
2013-10,1673261,25650800,1876
2013-11,1780688,27431488,1833
2013-12,1874128,29305616,1793
2014-01,45642,29351258,1746
